"		7",경남,2021-01-01,1.4,7,18.1,-3.7,-17.4,59,4
"		7",경남,2021-02-01,5.4,11.5,24.6,-0.1,-10.1,55,2
"		7",경남,2021-03-01,10.2,16.1,25,4.9,-5.1,67,5
"		7",경남,2021-04-01,14,20.2,28.8,8.2,-0.9,58,1
"		7",경남,2021-05-01,17.7,23,30.6,12.7,1.3,69,2
"		7",경남,2021-06-01,22,26.8,33.4,18.1,8.9,77,19
"		7",경남,2021-07-01,26.1,30.6,35.9,22.7,17.6,82,31
"		7",경남,2021-08-01,25.7,30.1,38.3,22.6,17.9,83,32
"		7",경남,2021-09-01,22,26.2,31.6,18.8,11.7,81,32
"		7",경남,2021-10-01,16.6,22.7,31.4,12,-2,75,15
"		7",경남,2021-11-01,9.8,16.4,22.7,4.7,-5.8,66,6
"		7",경남,2021-12-01,3.8,9.7,18,-1.3,-12.8,58,2
"		7",경남,2022-01-01,1.7,7.9,13.6,-3.4,-12.4,48,1
"		7",경남,2022-02-01,2.1,8,16.9,-3.2,-12.9,43,1
"		7",경남,2022-03-01,9.4,15.4,23.9,3.7,-6.1,62,1
"		7",경남,2022-04-01,14.6,20.9,30.7,8.9,-1.6,61,1
"		7",경남,2022-05-01,19,25.5,33.6,12.8,0.8,56,12
"		7",경남,2022-06-01,22.4,27,35.1,18.8,10.1,77,12
"		7",경남,2022-07-01,26.4,30.8,36.1,22.9,17.1,80,29
"		7",경남,2022-08-01,26.1,30,36.6,22.9,11.6,81,28
"		7",경남,2022-09-01,21.8,26.7,33.2,17.9,7.2,76,15
"		7",경남,2022-10-01,15.6,21.7,31.3,10.5,-1.9,69,9
"		7",경남,2022-11-01,11.3,18.2,24.3,5.8,-4.8,64,3
"		7",경남,2022-12-01,1.3,6.8,16.4,-3.2,-12.9,54,6
"		7",경남,2023-01-01,1.7,7.8,20.1,-3.6,-16.2,55,2
"		7",경남,2023-02-01,4.6,10.8,17.5,-0.7,-9.9,56,4
"		7",경남,2023-03-01,10.8,17.6,26.6,4.8,-6.8,59,1
"		7",경남,2023-04-01,13.9,19.7,29.7,8.3,-1.8,63,2
"		7",경남,2023-05-01,17.9,23.2,33,13.1,2.4,73,8
"		7",경남,2023-06-01,22.6,27.6,34.5,18.4,12.3,76,18
"		7",경남,2023-07-01,25.5,29.4,36.6,22.6,17.8,85,31
"		7",경남,2023-08-01,27.1,31.4,37.8,23.9,18,80,32
"		7",경남,2023-09-01,23.4,27.9,33.4,20.3,12,80,24
